time,lat,lon
2013-08-08 21:24:00,-48.6109505,-125.9989753
2013-08-08 21:30:00,-48.61092533,-125.9988775
2013-08-08 21:33:00,-48.61085067,-125.9987373
2013-08-08 21:36:00,-48.61073483,-125.9985278
2013-08-08 21:39:00,-48.61058983,-125.9983165
2013-08-08 21:42:00,-48.61049167,-125.9981995
2013-08-08 21:45:00,-48.61039683,-125.9981097
2013-08-08 21:48:00,-48.61023517,-125.9978572
2013-08-08 21:54:00,-48.60999583,-125.9977245
2013-08-08 21:57:00,-48.60984633,-125.9976108
2013-08-08 22:00:00,-48.609676,-125.9974872
2013-08-08 22:03:00,-48.60948967,-125.9973302
2013-08-08 22:06:00,-48.6093455,-125.9972458
2013-08-08 22:09:00,-48.60924883,-125.997173
2013-08-08 22:12:00,-48.60912883,-125.9971057
2013-08-08 22:18:00,-48.60898917,-125.9970362
2013-08-08 22:21:00,-48.60879267,-125.9969297
2013-08-08 23:00:00,-48.62773883,-126.0039823
2013-08-08 23:06:00,-48.62773417,-126.0040047
2013-08-08 23:09:00,-48.627758,-126.0039708
2013-08-08 23:12:00,-48.62778333,-126.0039953
2013-08-08 23:15:00,-48.6277565,-126.003988
2013-08-08 23:42:00,-48.62761067,-126.00409
2013-08-08 23:45:00,-48.627686,-126.0048395
2013-08-08 23:48:00,-48.6309575,-126.0097697
2013-08-08 23:51:00,-48.63534783,-126.002318
2013-08-09 00:00:00,-48.63998767,-125.9794668
2013-08-09 00:03:00,-48.64618783,-125.9686012
2013-08-09 00:06:00,-48.6514805,-125.9623752
2013-08-09 00:09:00,-48.6525135,-125.9601497
2013-08-09 00:15:00,-48.65150717,-125.9598342
2013-08-09 00:18:00,-48.651119,-125.959851
2013-08-09 00:21:00,-48.65104617,-125.9596035
2013-08-09 00:24:00,-48.65087217,-125.9592667
2013-08-09 00:27:00,-48.65078033,-125.9588067
2013-08-09 00:30:00,-48.64917483,-125.9589303
2013-08-09 00:36:00,-48.6452655,-125.9597522
2013-08-09 00:39:00,-48.64140617,-125.965795
