time,lat,lon,depth,NO3
2017-06-03,24.0,-158.0,5274.78417969,
2017-06-03,24.0,-158.0,5727.91699219,
2017-06-03,24.0,-157.5,0.494024991989,5.27942347617e-07
2017-06-03,24.0,-157.5,1.54137504101,5.27942347617e-07
2017-06-03,24.0,-157.5,2.64566898346,5.27942347617e-07
2017-06-03,24.0,-157.5,3.81949496269,5.27942347617e-07
2017-06-03,24.0,-157.5,5.07822418213,5.27942347617e-07
2017-06-03,24.0,-157.5,6.44061422348,5.27942347617e-07
2017-06-03,24.0,-157.5,7.92956018448,5.29158739937e-07
2017-06-03,24.0,-157.5,9.5729970932,5.29158739937e-07
2017-06-03,24.0,-157.5,11.404999733,5.31601074272e-07
2017-06-03,24.0,-157.5,13.4671401978,5.35275773927e-07
2017-06-03,24.0,-157.5,15.8100700378,5.41474094007e-07
2017-06-03,24.0,-157.5,18.4955596924,5.51541347704e-07
2017-06-03,24.0,-157.5,21.5988197327,5.68333348383e-07
2017-06-03,24.0,-157.5,25.2114105225,5.97960536197e-07
2017-06-03,24.0,-157.5,29.4447307587,6.5434210228e-07
2017-06-03,24.0,-157.5,34.4341506958,7.65366053201e-07
2017-06-03,24.0,-157.5,40.3440513611,8.99359861251e-07
2017-06-03,24.0,-157.5,47.3736915588,1.0788498912e-06
2017-06-03,24.0,-157.5,55.764289856,1.34261631501e-06
2017-06-03,24.0,-157.5,65.8072662354,1.8106790094e-06
2017-06-03,24.0,-157.5,77.8538513184,3.99686678065e-06
2017-06-03,24.0,-157.5,92.3260726929,0.000113194619189
2017-06-03,24.0,-157.5,109.729301453,0.00780985737219
2017-06-03,24.0,-157.5,130.666000366,0.535475075245
2017-06-03,24.0,-157.5,155.850692749,1.80486655235
2017-06-03,24.0,-157.5,186.125595093,3.48276782036
2017-06-03,24.0,-157.5,222.475204468,6.00941610336
2017-06-03,24.0,-157.5,266.040313721,9.47817707062
2017-06-03,24.0,-157.5,318.127410889,14.1821708679
2017-06-03,24.0,-157.5,380.213012695,20.3136253357
2017-06-03,24.0,-157.5,453.937713623,27.1522502899
2017-06-03,24.0,-157.5,541.088928223,33.5566711426
2017-06-03,24.0,-157.5,643.566772461,38.262134552
2017-06-03,24.0,-157.5,763.333129883,41.1870613098
2017-06-03,24.0,-157.5,902.339294434,42.3409767151
2017-06-03,24.0,-157.5,1062.43994141,42.536403656
2017-06-03,24.0,-157.5,1245.29101562,42.4385299683
2017-06-03,24.0,-157.5,1452.25097656,42.0503425598
2017-06-03,24.0,-157.5,1684.28405762,41.4734306335
2017-06-03,24.0,-157.5,1941.89294434,40.8103218079
2017-06-03,24.0,-157.5,2225.07788086,40.0645942688
2017-06-03,24.0,-157.5,2533.3359375,39.3316879272
2017-06-03,24.0,-157.5,2865.70288086,38.4372406006
2017-06-03,24.0,-157.5,3220.82006836,37.6503677368
2017-06-03,24.0,-157.5,3597.03198242,37.1338233948
2017-06-03,24.0,-157.5,3992.48388672,36.8774185181
2017-06-03,24.0,-157.5,4405.22412109,
2017-06-03,24.0,-157.5,4833.29101562,
2017-06-03,24.0,-157.5,5274.78417969,
2017-06-03,24.0,-157.5,5727.91699219,
2017-06-03,24.5,-158.0,0.494024991989,4.93392917633e-07
2017-06-03,24.5,-158.0,1.54137504101,4.93392917633e-07
2017-06-03,24.5,-158.0,2.64566898346,4.93392917633e-07
2017-06-03,24.5,-158.0,3.81949496269,4.93392917633e-07
2017-06-03,24.5,-158.0,5.07822418213,4.93450443173e-07
