time,lat,lon,depth,OH_PseudoCobalamin_Particulate_pM,Me_PseudoCobalamin_Particulate_pM,OH_Cobalamin_Particulate_pM,Me_Cobalamin_Particulate_pM,Ado_Cobalamin_Particulate_pM,dt1,dt2,lat1,lat2,lon1,lon2,depth1,depth2,sst,sst_std,Fe,Fe_std,picoeukaryote_c03_darwin_clim,picoeukaryote_c03_darwin_clim_std
2013-08-25 12:59:38,39.00033333,-150.0,0,0.018033489,0.024346454,0.024954994,0.006407893,0.014345098,2013-08-24 12:59:38,2013-08-26 12:59:38,38.70033333,39.300333329999994,-150.3,-149.7,-5,5,21.38999341825,0.09092120924184913,3.65265788105e-06,8.37073632931224e-08,0.18434077999999998,0.006620543763423064
2013-08-25 12:59:38,39.00033333,-150.0,20,0.013704217,0.036303886,0.017716081,0.00627128,0.009121598,2013-08-24 12:59:38,2013-08-26 12:59:38,38.70033333,39.300333329999994,-150.3,-149.7,15,25,21.38999341825,0.09092120924184913,2.9969561031366666e-06,6.636357946945874e-09,0.18113362624999998,0.00573376737370801
2013-08-25 12:59:38,39.00033333,-150.0,35,0.032680849,0.046417002,0.05183266,0.005948642,0.018491825,2013-08-24 12:59:38,2013-08-26 12:59:38,38.70033333,39.300333329999994,-150.3,-149.7,30,40,21.38999341825,0.09092120924184913,2.99226348943e-06,0.0,0.16990022,0.0008039149872343391
2013-08-25 12:59:38,39.00033333,-150.0,50,0.027172037,0.033122233,0.15667468,0.011920894,0.021804692,2013-08-24 12:59:38,2013-08-26 12:59:38,38.70033333,39.300333329999994,-150.3,-149.7,45,55,21.38999341825,0.09092120924184913,3.0290250379e-06,0.0,0.11366436312500001,0.02274626603430892
2013-08-25 12:59:38,39.00033333,-150.0,65,0.010916136,0.01528037,0.07861626,0.007465152,0.013662829,2013-08-24 12:59:38,2013-08-26 12:59:38,38.70033333,39.300333329999994,-150.3,-149.7,60,70,21.38999341825,0.09092120924184913,5.0806102081e-06,0.0,0.0532827915,0.006134277371758814
2013-08-25 12:59:38,39.00033333,-150.0,75,0.00596422,0.006555646,0.064678459,0.004252979,0.014075198,2013-08-24 12:59:38,2013-08-26 12:59:38,38.70033333,39.300333329999994,-150.3,-149.7,70,80,21.38999341825,0.09092120924184913,7.97761276772e-06,0.0,0.027307710750000002,0.004030950355268927
2013-08-25 12:59:38,39.00033333,-150.0,85,0.004375123,0.00487456,0.071924668,0.003707131,0.014115086,2013-08-24 12:59:38,2013-08-26 12:59:38,38.70033333,39.300333329999994,-150.3,-149.7,80,90,21.38999341825,0.09092120924184913,,,0.012642353999999998,0.0021374148498739076
2013-08-25 12:59:38,39.00033333,-150.0,105,0.0,0.0,0.061243779,0.003820791,0.016636153,2013-08-24 12:59:38,2013-08-26 12:59:38,38.70033333,39.300333329999994,-150.3,-149.7,100,110,21.38999341825,0.09092120924184913,1.8183451175e-05,0.0,0.0019923847,0.00034088950079090146
2013-08-25 12:59:38,39.00033333,-150.0,150,0.0,0.0,0.068774079,0.003799388,0.018282567,2013-08-24 12:59:38,2013-08-26 12:59:38,38.70033333,39.300333329999994,-150.3,-149.7,145,155,21.38999341825,0.09092120924184913,,,1.86889775e-05,7.283655804314546e-07
2013-08-25 12:59:38,39.00033333,-150.0,300,0.0,0.0,0.051369437,0.002280711,0.008140609,2013-08-24 12:59:38,2013-08-26 12:59:38,38.70033333,39.300333329999994,-150.3,-149.7,295,305,21.38999341825,0.09092120924184913,,,-2.9019039e-05,1.5453320472453494e-06
2013-08-29 13:03:44,30.0,-149.9996667,0,0.012226415,0.011276597,0.010899156,0.000770477,0.002632041,2013-08-28 13:03:44,2013-08-30 13:03:44,29.7,30.3,-150.29966670000002,-149.6996667,-5,5,25.818326652750002,0.10139307229923435,,,0.04373601825,0.0021846002682969702
2013-08-29 13:03:44,30.0,-149.9996667,60,0.017078848,0.013286217,0.014279891,0.002035295,0.002856605,2013-08-28 13:03:44,2013-08-30 13:03:44,29.7,30.3,-150.29966670000002,-149.6996667,55,65,25.818326652750002,0.10139307229923435,,,0.06147855062499999,0.0031119373328205822
2013-08-29 13:03:44,30.0,-149.9996667,90,0.011169125,0.017557218,0.016139629,0.001473415,0.005671477,2013-08-28 13:03:44,2013-08-30 13:03:44,29.7,30.3,-150.29966670000002,-149.6996667,85,95,25.818326652750002,0.10139307229923435,,,0.075865101,0.0029054067026086025
