time_X,sst,sst_std_X,time_Y,PO4,PO4_std_Y,lat1,lat2,lon1,lon2,,depth
2015-05-14,21.811255909,1.61132605247,2015-05-14,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-15,22.0451684037,1.55657518775,2015-05-15,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-16,22.2066184001,1.4886372244,2015-05-16,0.253119152419,0.0512214210867,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-17,22.2855371484,1.40615033968,2015-05-17,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-18,22.4300808951,1.30174094872,2015-05-18,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-19,22.6389558905,1.13597634982,2015-05-19,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-20,22.7649121377,1.05173727162,2015-05-20,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-21,22.8221933864,1.09403887372,2015-05-21,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-22,22.167805901,1.72341878684,2015-05-22,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-23,21.8013746592,1.93658270736,2015-05-23,0.252988222268,0.0514275736058,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-24,21.7366746606,1.97429801631,2015-05-24,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-25,21.7947621593,1.93855842938,2015-05-25,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-26,21.8627371578,1.93721429925,2015-05-26,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-27,22.0188934043,1.87878362239,2015-05-27,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-28,22.0298434041,1.91090568573,2015-05-28,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-29,22.0162996544,1.89145724654,2015-05-29,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-30,21.9815746552,1.86427186868,2015-05-30,0.253479259084,0.0513910807278,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-31,21.9541934058,1.78052222128,2015-05-31,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-01,22.1313934018,1.76119590999,2015-06-01,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-02,22.3736621464,1.69286291242,2015-06-02,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-03,22.5850371417,1.5508990362,2015-06-03,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-04,22.8320058861,1.48994909925,2015-06-04,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-05,23.0118246321,1.54227055889,2015-06-05,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-06,23.1287371295,1.70319876513,2015-06-06,0.254690433103,0.0515768951057,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-07,23.2545996267,1.88919919715,2015-06-07,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-08,23.287993376,2.03440721046,2015-06-08,,,23.0,33.0,-160.0,-150.0,,0.494024991989
