track,time,lat,lon,sst,sst_std,chl01_darwin_clim,chl01_darwin_clim_std,margin
234027,2014-05-26,27.0967006683,-159.517028809,23.5649933697,0.0605805237349,0.00394756465,5.287815219850657e-06,0.3
234027,2014-05-27,27.0783996582,-159.562988281,23.494993371,0.00547722558889,0.0039438256,,0.3
234027,2014-05-28,27.0755004883,-159.62701416,23.0911044912,0.0609188881685,0.0039438256,,0.3
234027,2014-05-29,27.0792999268,-159.663024902,23.0422156038,0.0737864771599,0.0039438256,,0.3
234027,2014-05-30,27.1016998291,-159.734985352,23.2466600433,0.135597440507,0.0039438256,,0.3
234128,2014-05-06,23.1294994354,-160.229980469,24.9233266728,0.163544078164,0.0051339543,,0.3
234128,2014-05-07,23.1765995026,-160.247009277,24.7824933428,0.159033535944,0.0051339543,,0.3
234128,2014-05-08,23.2068004608,-160.260986328,24.8449933415,0.164215302129,0.0051339543,,0.3
234128,2014-05-09,23.1923999786,-160.320007324,24.8749933405,0.110905362571,0.0051339543,,0.3
234128,2014-05-10,23.220199585,-160.29901123,24.8324933415,0.0512347525628,0.0051339543,,0.3
234128,2014-05-11,23.3675994873,-160.20098877,24.563326681,0.0864098742346,0.0051339543,,0.3
234128,2014-05-12,23.4022006989,-160.195983887,24.391660018,0.0591326182854,0.0051339543,,0.3
234128,2014-05-13,23.4116001129,-160.179992676,24.2099933553,0.0689927515031,0.0051339543,,0.3
234128,2014-05-14,23.4118003845,-160.117004395,24.1511044679,0.127126356126,0.0051339543,,0.3
234128,2014-05-15,23.3596992493,-160.104003906,24.2022155778,0.065912398201,0.0051339543,,0.3
234128,2014-05-16,23.3197002411,-160.106018066,24.3383266858,0.0331159571302,0.0051339543,,0.3
234128,2014-05-17,23.3047008514,-160.156982422,24.59332668,0.0598887843369,0.0051339543,,0.3
234128,2014-05-18,23.3057994843,-160.185974121,24.7799933428,0.0571547594391,0.0051339543,,0.3
234128,2014-05-19,23.2369995117,-160.124023438,24.8683266738,0.0951665185702,0.0051339543,,0.3
234128,2014-05-20,23.2275009155,-160.171020508,25.218326666,0.0337144867568,0.0051339543,,0.3
234128,2014-05-21,23.1315994263,-159.84197998,25.4255488838,0.112928194919,0.0054649264,,0.3
234128,2014-05-22,23.1324005127,-159.900024414,25.5099933264,0.118427190184,0.0054649264,,0.3
234128,2014-05-23,23.1201000214,-159.934997559,25.9316599835,0.18389308077,0.0054649264,,0.3
234128,2014-05-24,23.1205005646,-159.945007324,25.7599933208,0.171464278135,0.0054649264,,0.3
234128,2014-05-25,23.1182003021,-159.968017578,25.5599933253,0.195140970461,0.00529944035,0.0002340326162935446,0.3
234128,2014-05-26,23.1114006042,-159.958007812,25.7433266542,0.188113436692,0.00529944035,0.0002340326162935446,0.3
234128,2014-05-27,23.1004009247,-159.979980469,25.6149933238,0.142372746781,0.00529944035,0.0002340326162935446,0.3
234128,2014-05-28,23.0837993622,-159.976013184,25.4366599945,0.161822944818,0.00529944035,0.0002340326162935446,0.3
234128,2014-05-29,23.070400238,-159.911010742,25.074993336,0.213705399978,0.0054649264,,0.3
234128,2014-05-30,23.0918998718,-159.965026855,25.178326667,0.12367969103,0.00529944035,0.0002340326162935446,0.3
