adt,start_time,end_time,lat1,lat2,lon1,lon2,
0.7985,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8025,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.811,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8075,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7997,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.802,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8153,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8272,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8301,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8317,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8381,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8527,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8756,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8895,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8811,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8621,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8567,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8766,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9084,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8504,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8828,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.922,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9485,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9601,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9648,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9678,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9636,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9439,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9111,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8779,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8494,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.82,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7973,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7957,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8072,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8126,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8104,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8133,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8245,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8342,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8387,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8448,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8565,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
