time,lat,lon,adt
2016-02-04,23.125,-143.625,1.0516
2016-02-04,23.375,-161.125,1.0498
2016-02-04,23.375,-160.875,1.0824
2016-02-04,23.375,-160.625,1.1226
2016-02-04,23.375,-160.375,1.154
2016-02-04,23.375,-160.125,1.1607
2016-02-04,23.375,-159.875,1.1446
2016-02-04,23.375,-159.625,1.1122
2016-02-04,23.375,-159.375,1.0711
2016-02-04,23.375,-159.125,1.0344
2016-02-04,23.375,-158.875,1.0088
2016-02-04,23.375,-158.625,0.9926
2016-02-04,23.375,-158.375,0.9943
2016-02-04,23.375,-158.125,1.021
2016-02-04,23.375,-157.875,1.0519
2016-02-04,23.375,-157.625,1.0598
2016-02-04,23.375,-157.375,1.0441
2016-02-04,23.375,-157.125,1.0258
2016-02-04,23.375,-156.875,1.0159
2016-02-04,23.375,-156.625,1.0029
2016-02-04,23.375,-156.375,0.9831
2016-02-04,23.375,-156.125,0.9685
2016-02-04,23.375,-155.875,0.9573
2016-02-04,23.375,-155.625,0.9446
2016-02-04,23.375,-155.375,0.9395
2016-02-04,23.375,-155.125,0.949
2016-02-04,23.375,-154.875,0.9605
2016-02-04,23.375,-154.625,0.9554
2016-02-04,23.375,-154.375,0.9375
2016-02-04,23.375,-154.125,0.9297
2016-02-04,23.375,-153.875,0.9448
2016-02-04,23.375,-153.625,0.9722
2016-02-04,23.375,-153.375,0.9978
2016-02-04,23.375,-153.125,1.0249
2016-02-04,23.375,-152.875,1.0619
2016-02-04,23.375,-152.625,1.0986
2016-02-04,23.375,-152.375,1.1244
2016-02-04,23.375,-152.125,1.141
2016-02-04,23.375,-151.875,1.1423
2016-02-04,23.375,-151.625,1.1143
2016-02-04,23.375,-151.375,1.0621
2016-02-04,23.375,-151.125,1.0133
2016-02-04,23.375,-150.875,0.9869
2016-02-04,23.375,-150.625,0.9804
2016-02-04,23.375,-150.375,0.9815
2016-02-04,23.375,-150.125,0.9781
2016-02-04,23.375,-149.875,0.9722
2016-02-04,23.375,-149.625,0.9763
2016-02-04,23.375,-149.375,1.0035
2016-02-04,23.375,-149.125,1.0569
2016-02-04,23.375,-148.875,1.1162
2016-02-04,23.375,-148.625,1.1589
2016-02-04,23.375,-148.375,1.1835
2016-02-04,23.375,-148.125,1.1939
2016-02-04,23.375,-147.875,1.1942
2016-02-04,23.375,-147.625,1.1951
2016-02-04,23.375,-147.375,1.1965
2016-02-04,23.375,-147.125,1.1863
2016-02-04,23.375,-146.875,1.1637
2016-02-04,23.375,-146.625,1.1346
2016-02-04,23.375,-146.375,1.1006
2016-02-04,23.375,-146.125,1.0605
2016-02-04,23.375,-145.875,1.0195
2016-02-04,23.375,-145.625,0.9969
2016-02-04,23.375,-145.375,1.0069
2016-02-04,23.375,-145.125,1.0363
2016-02-04,23.375,-144.875,1.0649
2016-02-04,23.375,-144.625,1.088
2016-02-04,23.375,-144.375,1.1069
2016-02-04,23.375,-144.125,1.1176
2016-02-04,23.375,-143.875,1.1101
2016-02-04,23.375,-143.625,1.0822
2016-02-04,23.625,-161.125,1.0709
2016-02-04,23.625,-160.875,1.1084
2016-02-04,23.625,-160.625,1.136
2016-02-04,23.625,-160.375,1.1496
2016-02-04,23.625,-160.125,1.1409
2016-02-04,23.625,-159.875,1.1073
2016-02-04,23.625,-159.625,1.0594
2016-02-04,23.625,-159.375,1.0132
2016-02-04,23.625,-159.125,0.9801
2016-02-04,23.625,-158.875,0.9641
2016-02-04,23.625,-158.625,0.9637
2016-02-04,23.625,-158.375,0.9742
2016-02-04,23.625,-158.125,0.9912
2016-02-04,23.625,-157.875,1.0059
2016-02-04,23.625,-157.625,1.0085
2016-02-04,23.625,-157.375,0.9987
2016-02-04,23.625,-157.125,0.9836
2016-02-04,23.625,-156.875,0.9675
2016-02-04,23.625,-156.625,0.9476
2016-02-04,23.625,-156.375,0.9282
2016-02-04,23.625,-156.125,0.9211
2016-02-04,23.625,-155.875,0.9226
2016-02-04,23.625,-155.625,0.928
2016-02-04,23.625,-155.375,0.9441
2016-02-04,23.625,-155.125,0.9655
2016-02-04,23.625,-154.875,0.973
2016-02-04,23.625,-154.625,0.9593
2016-02-04,23.625,-154.375,0.9389
2016-02-04,23.625,-154.125,0.9291
2016-02-04,23.625,-153.875,0.9339
2016-02-04,23.625,-153.625,0.9515
2016-02-04,23.625,-153.375,0.9797
2016-02-04,23.625,-153.125,1.0124
2016-02-04,23.625,-152.875,1.045
2016-02-04,23.625,-152.625,1.0808
2016-02-04,23.625,-152.375,1.1207
2016-02-04,23.625,-152.125,1.151
2016-02-04,23.625,-151.875,1.1577
2016-02-04,23.625,-151.625,1.1344
2016-02-04,23.625,-151.375,1.0828
2016-02-04,23.625,-151.125,1.0212
2016-02-04,23.625,-150.875,0.9774
2016-02-04,23.625,-150.625,0.9665
2016-02-04,23.625,-150.375,0.9755
2016-02-04,23.625,-150.125,0.9804
2016-02-04,23.625,-149.875,0.981
2016-02-04,23.625,-149.625,0.996
2016-02-04,23.625,-149.375,1.0348
2016-02-04,23.625,-149.125,1.0909
2016-02-04,23.625,-148.875,1.1455
2016-02-04,23.625,-148.625,1.1774
2016-02-04,23.625,-148.375,1.186
2016-02-04,23.625,-148.125,1.1872
2016-02-04,23.625,-147.875,1.1928
2016-02-04,23.625,-147.625,1.2021
2016-02-04,23.625,-147.375,1.199
2016-02-04,23.625,-147.125,1.1712
2016-02-04,23.625,-146.875,1.1277
2016-02-04,23.625,-146.625,1.0834
2016-02-04,23.625,-146.375,1.0449
2016-02-04,23.625,-146.125,1.01
2016-02-04,23.625,-145.875,0.9743
2016-02-04,23.625,-145.625,0.9507
2016-02-04,23.625,-145.375,0.9571
2016-02-04,23.625,-145.125,0.9887
2016-02-04,23.625,-144.875,1.0327
2016-02-04,23.625,-144.625,1.0808
2016-02-04,23.625,-144.375,1.1231
2016-02-04,23.625,-144.125,1.149
2016-02-04,23.625,-143.875,1.1475
2016-02-04,23.625,-143.625,1.1189
2016-02-04,23.875,-161.125,1.1089
2016-02-04,23.875,-160.875,1.149
2016-02-04,23.875,-160.625,1.166
2016-02-04,23.875,-160.375,1.1569
2016-02-04,23.875,-160.125,1.1239
2016-02-04,23.875,-159.875,1.0734
2016-02-04,23.875,-159.625,1.0164
2016-02-04,23.875,-159.375,0.9694
2016-02-04,23.875,-159.125,0.9468
2016-02-04,23.875,-158.875,0.9486
2016-02-04,23.875,-158.625,0.962
2016-02-04,23.875,-158.375,0.971
2016-02-04,23.875,-158.125,0.9702
2016-02-04,23.875,-157.875,0.967
2016-02-04,23.875,-157.625,0.966
2016-02-04,23.875,-157.375,0.9623
2016-02-04,23.875,-157.125,0.9497
2016-02-04,23.875,-156.875,0.9279
2016-02-04,23.875,-156.625,0.9012
2016-02-04,23.875,-156.375,0.8814
2016-02-04,23.875,-156.125,0.8805
2016-02-04,23.875,-155.875,0.8929
2016-02-04,23.875,-155.625,0.9121
2016-02-04,23.875,-155.375,0.9421
2016-02-04,23.875,-155.125,0.976
2016-02-04,23.875,-154.875,0.9931
2016-02-04,23.875,-154.625,0.9835
2016-02-04,23.875,-154.375,0.9609
2016-02-04,23.875,-154.125,0.9425
2016-02-04,23.875,-153.875,0.9353
2016-02-04,23.875,-153.625,0.9446
2016-02-04,23.875,-153.375,0.9718
2016-02-04,23.875,-153.125,1.0053
2016-02-04,23.875,-152.875,1.035
2016-02-04,23.875,-152.625,1.0674
2016-02-04,23.875,-152.375,1.1053
2016-02-04,23.875,-152.125,1.1342
2016-02-04,23.875,-151.875,1.1434
2016-02-04,23.875,-151.625,1.1288
2016-02-04,23.875,-151.375,1.0874
2016-02-04,23.875,-151.125,1.0298
2016-02-04,23.875,-150.875,0.9836
2016-02-04,23.875,-150.625,0.9701
2016-02-04,23.875,-150.375,0.9808
2016-02-04,23.875,-150.125,0.9936
2016-02-04,23.875,-149.875,1.0062
2016-02-04,23.875,-149.625,1.0326
2016-02-04,23.875,-149.375,1.0763
2016-02-04,23.875,-149.125,1.1273
2016-02-04,23.875,-148.875,1.1712
2016-02-04,23.875,-148.625,1.1882
2016-02-04,23.875,-148.375,1.1753
2016-02-04,23.875,-148.125,1.1552
2016-02-04,23.875,-147.875,1.1502
2016-02-04,23.875,-147.625,1.1561
2016-02-04,23.875,-147.375,1.1465
2016-02-04,23.875,-147.125,1.1085
2016-02-04,23.875,-146.875,1.0611
2016-02-04,23.875,-146.625,1.0267
2016-02-04,23.875,-146.375,1.005
2016-02-04,23.875,-146.125,0.9817
2016-02-04,23.875,-145.875,0.9509
2016-02-04,23.875,-145.625,0.925
2016-02-04,23.875,-145.375,0.9234
2016-02-04,23.875,-145.125,0.9555
2016-02-04,23.875,-144.875,1.015
2016-02-04,23.875,-144.625,1.0789
2016-02-04,23.875,-144.375,1.1272
2016-02-04,23.875,-144.125,1.1587
2016-02-04,23.875,-143.875,1.1691
2016-02-04,23.875,-143.625,1.1482
2016-02-04,24.125,-161.125,1.1548
2016-02-04,24.125,-160.875,1.1814
2016-02-04,24.125,-160.625,1.1859
2016-02-04,24.125,-160.375,1.1627
2016-02-04,24.125,-160.125,1.1133
2016-02-04,24.125,-159.875,1.0547
2016-02-04,24.125,-159.625,1.0005
2016-02-04,24.125,-159.375,0.9608
2016-02-04,24.125,-159.125,0.9476
2016-02-04,24.125,-158.875,0.9566
2016-02-04,24.125,-158.625,0.9697
2016-02-04,24.125,-158.375,0.9723
2016-02-04,24.125,-158.125,0.9624
2016-02-04,24.125,-157.875,0.9523
2016-02-04,24.125,-157.625,0.9529
2016-02-04,24.125,-157.375,0.9546
2016-02-04,24.125,-157.125,0.9412
2016-02-04,24.125,-156.875,0.9134
2016-02-04,24.125,-156.625,0.8837
2016-02-04,24.125,-156.375,0.8665
2016-02-04,24.125,-156.125,0.8694
2016-02-04,24.125,-155.875,0.8843
2016-02-04,24.125,-155.625,0.9044
2016-02-04,24.125,-155.375,0.9349
2016-02-04,24.125,-155.125,0.9766
2016-02-04,24.125,-154.875,1.0084
2016-02-04,24.125,-154.625,1.0093
2016-02-04,24.125,-154.375,0.9891
2016-02-04,24.125,-154.125,0.9673
2016-02-04,24.125,-153.875,0.9522
2016-02-04,24.125,-153.625,0.9523
2016-02-04,24.125,-153.375,0.9728
2016-02-04,24.125,-153.125,1.0024
2016-02-04,24.125,-152.875,1.0277
2016-02-04,24.125,-152.625,1.0497
2016-02-04,24.125,-152.375,1.0721
2016-02-04,24.125,-152.125,1.0916
2016-02-04,24.125,-151.875,1.1031
2016-02-04,24.125,-151.625,1.0999
2016-02-04,24.125,-151.375,1.0758
2016-02-04,24.125,-151.125,1.0372
2016-02-04,24.125,-150.875,1.0032
2016-02-04,24.125,-150.625,0.9909
2016-02-04,24.125,-150.375,1.0001
2016-02-04,24.125,-150.125,1.0182
2016-02-04,24.125,-149.875,1.0399
2016-02-04,24.125,-149.625,1.0717
2016-02-04,24.125,-149.375,1.1135
2016-02-04,24.125,-149.125,1.1535
2016-02-04,24.125,-148.875,1.1778
2016-02-04,24.125,-148.625,1.172
2016-02-04,24.125,-148.375,1.1374
2016-02-04,24.125,-148.125,1.0982
2016-02-04,24.125,-147.875,1.0776
2016-02-04,24.125,-147.625,1.0734
2016-02-04,24.125,-147.375,1.0607
2016-02-04,24.125,-147.125,1.0272
2016-02-04,24.125,-146.875,0.9941
2016-02-04,24.125,-146.625,0.9856
2016-02-04,24.125,-146.375,0.9885
2016-02-04,24.125,-146.125,0.975
2016-02-04,24.125,-145.875,0.9472
2016-02-04,24.125,-145.625,0.9212
2016-02-04,24.125,-145.375,0.9117
2016-02-04,24.125,-145.125,0.9407
2016-02-04,24.125,-144.875,1.0084
2016-02-04,24.125,-144.625,1.0756
2016-02-04,24.125,-144.375,1.1155
2016-02-04,24.125,-144.125,1.1428
2016-02-04,24.125,-143.875,1.1635
2016-02-04,24.125,-143.625,1.1552
2016-02-04,24.375,-161.125,1.1797
2016-02-04,24.375,-160.875,1.1846
2016-02-04,24.375,-160.625,1.1762
2016-02-04,24.375,-160.375,1.1506
2016-02-04,24.375,-160.125,1.1009
2016-02-04,24.375,-159.875,1.0452
2016-02-04,24.375,-159.625,1.0017
2016-02-04,24.375,-159.375,0.9717
2016-02-04,24.375,-159.125,0.9581
2016-02-04,24.375,-158.875,0.9606
2016-02-04,24.375,-158.625,0.9686
2016-02-04,24.375,-158.375,0.9726
2016-02-04,24.375,-158.125,0.9683
2016-02-04,24.375,-157.875,0.9593
2016-02-04,24.375,-157.625,0.9571
2016-02-04,24.375,-157.375,0.9569
2016-02-04,24.375,-157.125,0.9409
2016-02-04,24.375,-156.875,0.9125
2016-02-04,24.375,-156.625,0.8896
2016-02-04,24.375,-156.375,0.881
2016-02-04,24.375,-156.125,0.8838
2016-02-04,24.375,-155.875,0.8913
2016-02-04,24.375,-155.625,0.9049
2016-02-04,24.375,-155.375,0.9322
2016-02-04,24.375,-155.125,0.9735
2016-02-04,24.375,-154.875,1.0097
2016-02-04,24.375,-154.625,1.0214
2016-02-04,24.375,-154.375,1.0138
