time_X,NO3,NO3_std_X,time_Y,PO4,PO4_std_Y,lat1,lat2,lon1,lon2,depth,
2015-04-23,,,2015-04-23,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-24,,,2015-04-24,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-25,0.0840007981737,0.311957089616,2015-04-25,0.248685704033,0.0475614498669,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-26,,,2015-04-26,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-27,,,2015-04-27,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-28,,,2015-04-28,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-29,,,2015-04-29,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-30,,,2015-04-30,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-01,,,2015-05-01,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-02,0.0712036361289,0.282910023881,2015-05-02,0.249386855534,0.0484687144181,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-03,,,2015-05-03,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-04,,,2015-05-04,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-05,,,2015-05-05,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-06,,,2015-05-06,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-07,,,2015-05-07,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-08,,,2015-05-08,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-09,0.0525963150872,0.231717276427,2015-05-09,0.251340163774,0.0499181428275,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-10,,,2015-05-10,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-11,,,2015-05-11,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-12,,,2015-05-12,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-13,,,2015-05-13,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-14,,,2015-05-14,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-15,,,2015-05-15,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-16,0.0379701100027,0.186939757286,2015-05-16,0.253119152419,0.0512214210867,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-17,,,2015-05-17,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-18,,,2015-05-18,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-19,,,2015-05-19,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-20,,,2015-05-20,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-21,,,2015-05-21,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-22,,,2015-05-22,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-23,0.0394197610917,0.189964782253,2015-05-23,0.252988222268,0.0514275736058,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-24,,,2015-05-24,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-25,,,2015-05-25,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-26,,,2015-05-26,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-27,,,2015-05-27,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-28,,,2015-05-28,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-29,,,2015-05-29,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-30,0.0347652423654,0.171408169856,2015-05-30,0.253479259084,0.0513910807278,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-05-31,,,2015-05-31,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-01,,,2015-06-01,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-02,,,2015-06-02,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-03,,,2015-06-03,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-04,,,2015-06-04,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-05,,,2015-06-05,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-06,0.027130163653,0.143225458975,2015-06-06,0.254690433103,0.0515768951057,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-07,,,2015-06-07,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-08,,,2015-06-08,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-09,,,2015-06-09,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-10,,,2015-06-10,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-11,,,2015-06-11,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-12,,,2015-06-12,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-13,0.0179188337722,0.107508660418,2015-06-13,0.256151203227,0.0518874029445,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-14,,,2015-06-14,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-15,,,2015-06-15,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-16,,,2015-06-16,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-17,,,2015-06-17,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-18,,,2015-06-18,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-19,,,2015-06-19,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-20,0.0143392363797,0.094023321061,2015-06-20,0.257915252123,0.051991440547,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-21,,,2015-06-21,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-22,,,2015-06-22,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-23,,,2015-06-23,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-24,,,2015-06-24,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-25,,,2015-06-25,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-26,,,2015-06-26,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-27,0.0132895985526,0.0924870365507,2015-06-27,0.258922002348,0.0522790822305,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-28,,,2015-06-28,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-29,,,2015-06-29,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-06-30,,,2015-06-30,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-01,,,2015-07-01,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-02,,,2015-07-02,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-03,,,2015-07-03,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-04,0.0122459750457,0.0904223145676,2015-07-04,0.260582185319,0.0527328822506,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-05,,,2015-07-05,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-06,,,2015-07-06,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-07,,,2015-07-07,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-08,,,2015-07-08,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-09,,,2015-07-09,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-10,,,2015-07-10,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-11,0.00745191478122,0.0619158885542,2015-07-11,0.261906378258,0.0523257130258,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-12,,,2015-07-12,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-13,,,2015-07-13,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-14,,,2015-07-14,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-15,,,2015-07-15,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-16,,,2015-07-16,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-17,,,2015-07-17,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-18,0.00318281385139,0.0294065525056,2015-07-18,0.264334039387,0.0519278675649,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-19,,,2015-07-19,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-20,,,2015-07-20,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-21,,,2015-07-21,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-22,,,2015-07-22,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-23,,,2015-07-23,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-24,,,2015-07-24,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-25,0.00136960471492,0.0138036290616,2015-07-25,0.266937129656,0.0514449372616,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-26,,,2015-07-26,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-27,,,2015-07-27,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-28,,,2015-07-28,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-29,,,2015-07-29,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-30,,,2015-07-30,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-07-31,,,2015-07-31,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-01,0.000222581391206,0.0020568548176,2015-08-01,0.269347725238,0.0507541643166,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-02,,,2015-08-02,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-03,,,2015-08-03,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-04,,,2015-08-04,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-05,,,2015-08-05,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-06,,,2015-08-06,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-07,,,2015-08-07,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-08,3.46759717769e-05,0.000242364022921,2015-08-08,0.270367389431,0.0494717051889,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-09,,,2015-08-09,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-10,,,2015-08-10,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-11,,,2015-08-11,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-12,,,2015-08-12,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-13,,,2015-08-13,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-14,,,2015-08-14,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-15,2.30559123128e-05,0.000143723234607,2015-08-15,0.271243128309,0.0483974727531,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-16,,,2015-08-16,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-17,,,2015-08-17,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-18,,,2015-08-18,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-19,,,2015-08-19,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-20,,,2015-08-20,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-21,,,2015-08-21,,,23.0,33.0,-160.0,-150.0,0.494024991989,
