time,fco2,fco2_std,lat1,lat2,lon1,lon2,
2013-01-12,395.214596501,15.1662484585,-36.98,51.65,-173.85,-23.95,
2013-01-13,,,-36.98,51.65,-173.85,-23.95,
2013-01-14,,,-36.98,51.65,-173.85,-23.95,
2013-01-15,,,-36.98,51.65,-173.85,-23.95,
2013-01-16,,,-36.98,51.65,-173.85,-23.95,
2013-01-17,,,-36.98,51.65,-173.85,-23.95,
2013-01-18,,,-36.98,51.65,-173.85,-23.95,
2013-01-19,379.23594209,3.85521532646,-36.98,51.65,-173.85,-23.95,
2013-01-20,377.501174333,5.24069176903,-36.98,51.65,-173.85,-23.95,
2013-01-21,386.106710482,1.38737222992,-36.98,51.65,-173.85,-23.95,
2013-01-22,,,-36.98,51.65,-173.85,-23.95,
2013-01-23,,,-36.98,51.65,-173.85,-23.95,
2013-01-24,,,-36.98,51.65,-173.85,-23.95,
2013-01-25,,,-36.98,51.65,-173.85,-23.95,
2013-01-26,,,-36.98,51.65,-173.85,-23.95,
2013-01-27,,,-36.98,51.65,-173.85,-23.95,
2013-01-28,,,-36.98,51.65,-173.85,-23.95,
2013-01-29,,,-36.98,51.65,-173.85,-23.95,
2013-01-30,,,-36.98,51.65,-173.85,-23.95,
2013-01-31,,,-36.98,51.65,-173.85,-23.95,
2013-02-01,394.786545227,19.3631300389,-36.98,51.65,-173.85,-23.95,
2013-02-02,370.033914201,13.9583064459,-36.98,51.65,-173.85,-23.95,
2013-02-03,347.731049552,11.4110214496,-36.98,51.65,-173.85,-23.95,
2013-02-04,346.151033445,13.8417011801,-36.98,51.65,-173.85,-23.95,
2013-02-05,365.139247329,11.1400404231,-36.98,51.65,-173.85,-23.95,
2013-02-06,408.949558574,29.6682768501,-36.98,51.65,-173.85,-23.95,
2013-02-07,408.568843083,49.0044157867,-36.98,51.65,-173.85,-23.95,
2013-02-08,412.35290059,33.2752578232,-36.98,51.65,-173.85,-23.95,
2013-02-09,359.388228867,6.09051313247,-36.98,51.65,-173.85,-23.95,
2013-02-10,369.060049694,31.2219128194,-36.98,51.65,-173.85,-23.95,
2013-02-11,361.363533483,8.37740811215,-36.98,51.65,-173.85,-23.95,
2013-02-12,358.027433748,10.048024296,-36.98,51.65,-173.85,-23.95,
2013-02-13,,,-36.98,51.65,-173.85,-23.95,
2013-02-14,368.734197539,3.72676190835,-36.98,51.65,-173.85,-23.95,
2013-02-15,368.665798295,5.50070860633,-36.98,51.65,-173.85,-23.95,
2013-02-16,359.177976399,12.4331829624,-36.98,51.65,-173.85,-23.95,
2013-02-17,379.877069473,1.28773904232,-36.98,51.65,-173.85,-23.95,
2013-02-18,382.176545704,1.41008788449,-36.98,51.65,-173.85,-23.95,
2013-02-19,378.745786425,1.90595096987,-36.98,51.65,-173.85,-23.95,
2013-02-20,372.165690901,4.76955845558,-36.98,51.65,-173.85,-23.95,
2013-02-21,371.543440249,2.40878064418,-36.98,51.65,-173.85,-23.95,
2013-02-22,,,-36.98,51.65,-173.85,-23.95,
2013-02-23,,,-36.98,51.65,-173.85,-23.95,
2013-02-24,,,-36.98,51.65,-173.85,-23.95,
2013-02-25,,,-36.98,51.65,-173.85,-23.95,
2013-02-26,,,-36.98,51.65,-173.85,-23.95,
2013-02-27,,,-36.98,51.65,-173.85,-23.95,
2013-02-28,340.799273344,49.267380554,-36.98,51.65,-173.85,-23.95,
2013-03-01,505.328045905,89.5894108676,-36.98,51.65,-173.85,-23.95,
2013-03-02,420.186651327,39.4584507676,-36.98,51.65,-173.85,-23.95,
2013-03-03,374.227708731,12.9281553582,-36.98,51.65,-173.85,-23.95,
2013-03-04,372.457180214,15.1311924742,-36.98,51.65,-173.85,-23.95,
2013-03-05,373.376062085,13.1701327714,-36.98,51.65,-173.85,-23.95,
2013-03-06,373.086490959,11.4163832525,-36.98,51.65,-173.85,-23.95,
2013-03-07,381.440415134,19.356869301,-36.98,51.65,-173.85,-23.95,
2013-03-08,382.870416912,13.4052540788,-36.98,51.65,-173.85,-23.95,
2013-03-09,390.548870347,28.4146262189,-36.98,51.65,-173.85,-23.95,
2013-03-10,440.944766116,80.7433280601,-36.98,51.65,-173.85,-23.95,
2013-03-11,612.751447909,24.480192803,-36.98,51.65,-173.85,-23.95,
2013-03-12,525.798123651,56.3651807739,-36.98,51.65,-173.85,-23.95,
2013-03-13,417.386831349,34.7784864887,-36.98,51.65,-173.85,-23.95,
2013-03-14,364.249308012,38.9547989813,-36.98,51.65,-173.85,-23.95,
2013-03-15,365.310656163,18.0191919763,-36.98,51.65,-173.85,-23.95,
2013-03-16,362.399318021,25.9485739832,-36.98,51.65,-173.85,-23.95,
2013-03-17,359.110738499,23.6870826578,-36.98,51.65,-173.85,-23.95,
2013-03-18,355.525156811,22.1179311978,-36.98,51.65,-173.85,-23.95,
2013-03-19,351.588677968,16.1724648573,-36.98,51.65,-173.85,-23.95,
2013-03-20,331.821171291,28.4904689551,-36.98,51.65,-173.85,-23.95,
2013-03-21,300.887954198,24.5752334923,-36.98,51.65,-173.85,-23.95,
2013-03-22,291.149992635,16.2881962817,-36.98,51.65,-173.85,-23.95,
2013-03-23,301.102961312,31.7775835578,-36.98,51.65,-173.85,-23.95,
2013-03-24,357.363484491,10.5350446341,-36.98,51.65,-173.85,-23.95,
2013-03-25,336.71094835,26.1234323068,-36.98,51.65,-173.85,-23.95,
2013-03-26,332.10466244,31.6292443748,-36.98,51.65,-173.85,-23.95,
2013-03-27,306.780516123,31.1289146164,-36.98,51.65,-173.85,-23.95,
2013-03-28,352.287130222,18.8776615549,-36.98,51.65,-173.85,-23.95,
2013-03-29,318.646099843,68.4751184673,-36.98,51.65,-173.85,-23.95,
2013-03-30,343.083010151,37.8605360769,-36.98,51.65,-173.85,-23.95,
2013-03-31,348.401397851,27.0195056287,-36.98,51.65,-173.85,-23.95,
2013-04-01,341.802711927,37.5247390364,-36.98,51.65,-173.85,-23.95,
2013-04-02,358.908578572,39.4824160675,-36.98,51.65,-173.85,-23.95,
2013-04-03,411.931563398,40.1917141169,-36.98,51.65,-173.85,-23.95,
2013-04-04,381.330055123,76.986560143,-36.98,51.65,-173.85,-23.95,
2013-04-05,359.445456205,43.4015350885,-36.98,51.65,-173.85,-23.95,
2013-04-06,352.529551953,13.3077452625,-36.98,51.65,-173.85,-23.95,
2013-04-07,359.166615958,28.2944687038,-36.98,51.65,-173.85,-23.95,
2013-04-08,362.087154928,10.5595519231,-36.98,51.65,-173.85,-23.95,
2013-04-09,352.904705474,16.6083082972,-36.98,51.65,-173.85,-23.95,
2013-04-10,349.231722994,27.6384672376,-36.98,51.65,-173.85,-23.95,
2013-04-11,340.257755802,33.8538588825,-36.98,51.65,-173.85,-23.95,
2013-04-12,345.944330252,13.3646705166,-36.98,51.65,-173.85,-23.95,
2013-04-13,347.829598334,21.0485751209,-36.98,51.65,-173.85,-23.95,
2013-04-14,358.074917996,21.5089852196,-36.98,51.65,-173.85,-23.95,
2013-04-15,360.855026063,22.0905599327,-36.98,51.65,-173.85,-23.95,
2013-04-16,363.434562696,17.543737788,-36.98,51.65,-173.85,-23.95,
2013-04-17,362.335636656,20.7030853118,-36.98,51.65,-173.85,-23.95,
2013-04-18,355.19011727,29.3255502905,-36.98,51.65,-173.85,-23.95,
2013-04-19,357.351919505,40.2262527409,-36.98,51.65,-173.85,-23.95,
2013-04-20,360.167614675,24.1195108422,-36.98,51.65,-173.85,-23.95,
2013-04-21,345.995744308,34.6143876384,-36.98,51.65,-173.85,-23.95,
2013-04-22,358.008286394,19.3831194817,-36.98,51.65,-173.85,-23.95,
2013-04-23,367.483765808,22.3403102745,-36.98,51.65,-173.85,-23.95,
2013-04-24,370.357012232,24.7494453872,-36.98,51.65,-173.85,-23.95,
2013-04-25,364.578870507,26.3592013175,-36.98,51.65,-173.85,-23.95,
2013-04-26,373.479784646,36.4403145511,-36.98,51.65,-173.85,-23.95,
2013-04-27,361.576950793,28.4081915832,-36.98,51.65,-173.85,-23.95,
2013-04-28,370.420006691,25.5381690364,-36.98,51.65,-173.85,-23.95,
2013-04-29,350.680841185,3.10118527442,-36.98,51.65,-173.85,-23.95,
2013-04-30,349.639504387,28.6688982754,-36.98,51.65,-173.85,-23.95,
2013-05-01,338.762301945,19.1131677172,-36.98,51.65,-173.85,-23.95,
2013-05-02,321.266438357,30.4360568302,-36.98,51.65,-173.85,-23.95,
2013-05-03,316.402524863,26.6182249443,-36.98,51.65,-173.85,-23.95,
2013-05-04,331.260929588,43.6105367471,-36.98,51.65,-173.85,-23.95,
2013-05-05,338.336015667,32.2904036918,-36.98,51.65,-173.85,-23.95,
2013-05-06,334.437711479,32.9860138118,-36.98,51.65,-173.85,-23.95,
2013-05-07,307.451623372,47.9779359126,-36.98,51.65,-173.85,-23.95,
2013-05-08,338.882099853,26.5066398169,-36.98,51.65,-173.85,-23.95,
2013-05-09,364.980583557,24.0408427053,-36.98,51.65,-173.85,-23.95,
2013-05-10,351.097462502,11.4692422808,-36.98,51.65,-173.85,-23.95,
2013-05-11,347.701661038,6.80319127861,-36.98,51.65,-173.85,-23.95,
2013-05-12,352.14816215,3.62952445958,-36.98,51.65,-173.85,-23.95,
2013-05-13,351.823615068,2.64698484322,-36.98,51.65,-173.85,-23.95,
2013-05-14,353.08942669,3.37788122115,-36.98,51.65,-173.85,-23.95,
2013-05-15,352.052243202,3.27349632667,-36.98,51.65,-173.85,-23.95,
2013-05-16,354.070305145,5.19708745825,-36.98,51.65,-173.85,-23.95,
2013-05-17,359.433254238,3.35840636057,-36.98,51.65,-173.85,-23.95,
2013-05-18,387.357657919,16.1488621441,-36.98,51.65,-173.85,-23.95,
2013-05-19,362.888735965,6.49647931115,-36.98,51.65,-173.85,-23.95,
2013-05-20,359.404912994,4.06296458877,-36.98,51.65,-173.85,-23.95,
2013-05-21,337.656797752,9.33088452053,-36.98,51.65,-173.85,-23.95,
2013-05-22,330.964632126,15.075812006,-36.98,51.65,-173.85,-23.95,
2013-05-23,342.871435084,25.9528458243,-36.98,51.65,-173.85,-23.95,
2013-05-24,348.127680218,23.2084743531,-36.98,51.65,-173.85,-23.95,
2013-05-25,393.619546392,18.8372919754,-36.98,51.65,-173.85,-23.95,
2013-05-26,375.436044672,13.8111205131,-36.98,51.65,-173.85,-23.95,
2013-05-27,372.490117537,7.23161765546,-36.98,51.65,-173.85,-23.95,
2013-05-28,385.881374025,11.4928807062,-36.98,51.65,-173.85,-23.95,
2013-05-29,443.176409847,15.1479757009,-36.98,51.65,-173.85,-23.95,
2013-05-30,465.794827019,7.14280907405,-36.98,51.65,-173.85,-23.95,
2013-05-31,435.271976059,26.2224065857,-36.98,51.65,-173.85,-23.95,
2013-06-01,370.23921533,9.10379109939,-36.98,51.65,-173.85,-23.95,
2013-06-02,369.605450723,12.1826079985,-36.98,51.65,-173.85,-23.95,
2013-06-03,378.008004115,20.0108729803,-36.98,51.65,-173.85,-23.95,
2013-06-04,359.785487095,19.9044906832,-36.98,51.65,-173.85,-23.95,
2013-06-05,366.116235969,5.6019143731,-36.98,51.65,-173.85,-23.95,
2013-06-06,388.657830057,9.94004156542,-36.98,51.65,-173.85,-23.95,
2013-06-07,,,-36.98,51.65,-173.85,-23.95,
2013-06-08,,,-36.98,51.65,-173.85,-23.95,
2013-06-09,399.292267301,22.3451539586,-36.98,51.65,-173.85,-23.95,
2013-06-10,359.618308432,13.0567676244,-36.98,51.65,-173.85,-23.95,
2013-06-11,326.676337865,16.1785786592,-36.98,51.65,-173.85,-23.95,
2013-06-12,327.805011325,22.4345841393,-36.98,51.65,-173.85,-23.95,
2013-06-13,340.412368672,22.7809897429,-36.98,51.65,-173.85,-23.95,
2013-06-14,357.075451715,44.2685571839,-36.98,51.65,-173.85,-23.95,
2013-06-15,346.176262411,30.4249636231,-36.98,51.65,-173.85,-23.95,
2013-06-16,364.666396698,42.6513125234,-36.98,51.65,-173.85,-23.95,
2013-06-17,380.878451194,30.5073740687,-36.98,51.65,-173.85,-23.95,
2013-06-18,358.621440632,43.9077331343,-36.98,51.65,-173.85,-23.95,
2013-06-19,356.669198756,23.9078828485,-36.98,51.65,-173.85,-23.95,
2013-06-20,357.054403237,16.4381182457,-36.98,51.65,-173.85,-23.95,
2013-06-21,343.732763219,15.2941478176,-36.98,51.65,-173.85,-23.95,
2013-06-22,357.493808535,29.2778413068,-36.98,51.65,-173.85,-23.95,
2013-06-23,368.235992289,32.4353312215,-36.98,51.65,-173.85,-23.95,
2013-06-24,412.27545642,26.7343421067,-36.98,51.65,-173.85,-23.95,
2013-06-25,425.145986301,14.1090458173,-36.98,51.65,-173.85,-23.95,
2013-06-26,388.894421672,17.3491959674,-36.98,51.65,-173.85,-23.95,
2013-06-27,368.791368654,57.3995137075,-36.98,51.65,-173.85,-23.95,
2013-06-28,379.907388139,19.0582742733,-36.98,51.65,-173.85,-23.95,
2013-06-29,391.140921231,15.891279244,-36.98,51.65,-173.85,-23.95,
2013-06-30,395.896196154,12.1913593956,-36.98,51.65,-173.85,-23.95,
2013-07-01,409.414632268,23.0096274966,-36.98,51.65,-173.85,-23.95,
2013-07-02,405.752960539,39.8186470448,-36.98,51.65,-173.85,-23.95,
2013-07-03,384.320803498,42.874936255,-36.98,51.65,-173.85,-23.95,
2013-07-04,390.775448341,20.164392842,-36.98,51.65,-173.85,-23.95,
2013-07-05,385.598631681,20.9801218377,-36.98,51.65,-173.85,-23.95,
2013-07-06,423.112085477,55.5459231265,-36.98,51.65,-173.85,-23.95,
2013-07-07,416.368244618,28.8951685135,-36.98,51.65,-173.85,-23.95,
2013-07-08,401.767215399,41.1392378918,-36.98,51.65,-173.85,-23.95,
2013-07-09,437.19990979,21.2762349927,-36.98,51.65,-173.85,-23.95,
2013-07-10,420.204036936,16.3394049284,-36.98,51.65,-173.85,-23.95,
2013-07-11,405.927296642,37.3342267398,-36.98,51.65,-173.85,-23.95,
2013-07-12,402.020556445,27.033411975,-36.98,51.65,-173.85,-23.95,
2013-07-13,406.815585797,20.140502439,-36.98,51.65,-173.85,-23.95,
2013-07-14,405.26706924,17.1107300085,-36.98,51.65,-173.85,-23.95,
2013-07-15,416.026123513,22.5584686926,-36.98,51.65,-173.85,-23.95,
2013-07-16,405.137396702,9.94700774496,-36.98,51.65,-173.85,-23.95,
2013-07-17,398.228152783,29.9424408401,-36.98,51.65,-173.85,-23.95,
2013-07-18,393.111448012,25.5209854051,-36.98,51.65,-173.85,-23.95,
