time,lat,lon,Fe
2017-01-07,24.0,-150.0,3.35664917657e-05
2017-01-07,24.0,-149.5,3.49722831743e-05
2017-01-07,24.0,-149.0,3.27756570186e-05
2017-01-07,24.0,-148.5,2.8136131732e-05
2017-01-07,24.0,-148.0,2.75573947874e-05
2017-01-07,24.0,-147.5,2.68121093541e-05
2017-01-07,24.0,-147.0,3.30390139425e-05
2017-01-07,24.0,-146.5,3.48238245351e-05
2017-01-07,24.0,-146.0,2.7322286769e-05
2017-01-07,24.0,-145.5,2.10878733924e-05
2017-01-07,24.0,-145.0,2.29198230954e-05
2017-01-07,24.0,-144.5,2.52341051237e-05
2017-01-07,24.0,-144.0,2.72811648756e-05
2017-01-07,24.0,-143.5,2.30734385696e-05
2017-01-07,24.0,-143.0,2.25166040764e-05
2017-01-07,24.0,-142.5,2.3413938834e-05
2017-01-07,24.0,-142.0,2.47913503699e-05
2017-01-07,24.0,-141.5,2.67332561634e-05
2017-01-07,24.0,-141.0,2.58724430751e-05
2017-01-07,24.0,-140.5,2.59980588453e-05
2017-01-07,24.0,-140.0,2.47612442763e-05
2017-01-07,24.0,-139.5,2.66024253506e-05
2017-01-07,24.0,-139.0,2.66692713922e-05
2017-01-07,24.0,-138.5,2.7733251045e-05
2017-01-07,24.0,-138.0,2.75413531199e-05
2017-01-07,24.0,-137.5,2.78599090962e-05
2017-01-07,24.0,-137.0,2.74147914752e-05
2017-01-07,24.0,-136.5,2.36600299104e-05
2017-01-07,24.0,-136.0,2.51770470641e-05
2017-01-07,24.0,-135.5,2.43775848503e-05
2017-01-07,24.0,-135.0,2.38144384639e-05
2017-01-07,24.0,-134.5,2.36541218328e-05
2017-01-07,24.0,-134.0,2.18162476813e-05
2017-01-07,24.0,-133.5,1.96798991965e-05
2017-01-07,24.0,-133.0,2.14236915781e-05
2017-01-07,24.0,-132.5,2.18235272769e-05
2017-01-07,24.0,-132.0,2.14266565308e-05
2017-01-07,24.0,-131.5,2.10348080145e-05
2017-01-07,24.0,-131.0,2.07907596632e-05
2017-01-07,24.0,-130.5,2.15169511648e-05
2017-01-07,24.0,-130.0,2.24289160542e-05
2017-01-07,24.0,-129.5,2.15762647713e-05
2017-01-07,24.0,-129.0,2.05599990295e-05
2017-01-07,24.0,-128.5,1.84917298611e-05
2017-01-07,24.0,-128.0,1.79487360583e-05
2017-01-07,24.0,-127.5,1.87901969184e-05
2017-01-07,24.5,-177.0,4.78490401292e-05
2017-01-07,24.5,-176.5,4.81216920889e-05
2017-01-07,24.5,-176.0,4.45606310677e-05
2017-01-07,24.5,-175.5,4.13991037931e-05
2017-01-07,24.5,-175.0,4.10815628129e-05
2017-01-07,24.5,-174.5,3.32209310727e-05
2017-01-07,24.5,-174.0,2.94680976367e-05
2017-01-07,24.5,-173.5,3.24033389916e-05
2017-01-07,24.5,-173.0,3.07131776935e-05
2017-01-07,24.5,-172.5,2.47874249908e-05
2017-01-07,24.5,-172.0,2.947800931e-05
2017-01-07,24.5,-171.5,2.68206058536e-05
2017-01-07,24.5,-171.0,2.90489515464e-05
2017-01-07,24.5,-170.5,4.15732429246e-05
2017-01-07,24.5,-170.0,3.91372595914e-05
2017-01-07,24.5,-169.5,3.43183164659e-05
2017-01-07,24.5,-169.0,3.45491389453e-05
2017-01-07,24.5,-168.5,3.14329372486e-05
2017-01-07,24.5,-168.0,4.58266185888e-05
2017-01-07,24.5,-167.5,3.93690825149e-05
2017-01-07,24.5,-167.0,4.13816196669e-05
2017-01-07,24.5,-166.5,3.01837462757e-05
2017-01-07,24.5,-166.0,4.37473390775e-05
2017-01-07,24.5,-165.5,4.05942737416e-05
