time,lat,lon,sst
2016-02-04,23.375,-144.625,23.279993376
2016-02-04,23.375,-144.375,23.139993379
2016-02-04,23.375,-144.125,23.019993382
2016-02-04,23.375,-143.875,22.949993384
2016-02-04,23.375,-143.625,22.899993385
2016-02-04,23.625,-161.125,24.119993357
2016-02-04,23.625,-160.875,24.279993354
2016-02-04,23.625,-160.625,24.379993352
2016-02-04,23.625,-160.375,24.369993352
2016-02-04,23.625,-160.125,24.269993354
2016-02-04,23.625,-159.875,24.049993359
2016-02-04,23.625,-159.625,23.819993364
2016-02-04,23.625,-159.375,23.759993365
2016-02-04,23.625,-159.125,23.859993363
2016-02-04,23.625,-158.875,23.939993361
2016-02-04,23.625,-158.625,23.909993362
2016-02-04,23.625,-158.375,23.739993366
2016-02-04,23.625,-158.125,23.53999337
2016-02-04,23.625,-157.875,23.54999337
2016-02-04,23.625,-157.625,23.729993366
2016-02-04,23.625,-157.375,23.889993363
2016-02-04,23.625,-157.125,23.939993361
2016-02-04,23.625,-156.875,23.879993363
2016-02-04,23.625,-156.625,23.679993367
2016-02-04,23.625,-156.375,23.409993373
2016-02-04,23.625,-156.125,23.249993377
2016-02-04,23.625,-155.875,23.249993377
2016-02-04,23.625,-155.625,23.379993374
2016-02-04,23.625,-155.375,23.489993371
2016-02-04,23.625,-155.125,23.499993371
2016-02-04,23.625,-154.875,23.419993373
2016-02-04,23.625,-154.625,23.309993375
2016-02-04,23.625,-154.375,23.259993377
2016-02-04,23.625,-154.125,23.289993376
2016-02-04,23.625,-153.875,23.429993373
2016-02-04,23.625,-153.625,23.599993369
2016-02-04,23.625,-153.375,23.749993366
2016-02-04,23.625,-153.125,23.869993363
2016-02-04,23.625,-152.875,23.959993361
2016-02-04,23.625,-152.625,24.029993359
2016-02-04,23.625,-152.375,24.059993359
2016-02-04,23.625,-152.125,24.089993358
2016-02-04,23.625,-151.875,24.069993358
2016-02-04,23.625,-151.625,24.039993359
2016-02-04,23.625,-151.375,23.889993363
2016-02-04,23.625,-151.125,23.619993369
2016-02-04,23.625,-150.875,23.399993373
2016-02-04,23.625,-150.625,23.279993376
2016-02-04,23.625,-150.375,23.279993376
2016-02-04,23.625,-150.125,23.359993374
2016-02-04,23.625,-149.875,23.409993373
2016-02-04,23.625,-149.625,23.459993372
2016-02-04,23.625,-149.375,23.55999337
2016-02-04,23.625,-149.125,23.689993367
2016-02-04,23.625,-148.875,23.789993365
2016-02-04,23.625,-148.625,23.839993364
2016-02-04,23.625,-148.375,23.819993364
2016-02-04,23.625,-148.125,23.789993365
2016-02-04,23.625,-147.875,23.739993366
2016-02-04,23.625,-147.625,23.679993367
2016-02-04,23.625,-147.375,23.629993368
2016-02-04,23.625,-147.125,23.599993369
2016-02-04,23.625,-146.875,23.579993369
2016-02-04,23.625,-146.625,23.579993369
2016-02-04,23.625,-146.375,23.479993372
2016-02-04,23.625,-146.125,23.349993375
2016-02-04,23.625,-145.875,23.229993377
2016-02-04,23.625,-145.625,23.149993379
2016-02-04,23.625,-145.375,23.159993379
2016-02-04,23.625,-145.125,23.259993377
2016-02-04,23.625,-144.875,23.309993375
2016-02-04,23.625,-144.625,23.219993377
2016-02-04,23.625,-144.375,23.129993379
2016-02-04,23.625,-144.125,22.999993382
2016-02-04,23.625,-143.875,22.889993385
2016-02-04,23.625,-143.625,22.829993386
2016-02-04,23.875,-161.125,24.179993356
2016-02-04,23.875,-160.875,24.319993353
2016-02-04,23.875,-160.625,24.309993353
2016-02-04,23.875,-160.375,24.129993357
2016-02-04,23.875,-160.125,23.849993363
2016-02-04,23.875,-159.875,23.489993371
2016-02-04,23.875,-159.625,23.219993377
2016-02-04,23.875,-159.375,23.199993378
2016-02-04,23.875,-159.125,23.439993373
2016-02-04,23.875,-158.875,23.719993366
2016-02-04,23.875,-158.625,23.839993364
2016-02-04,23.875,-158.375,23.689993367
2016-02-04,23.875,-158.125,23.409993373
2016-02-04,23.875,-157.875,23.309993375
2016-02-04,23.875,-157.625,23.449993372
2016-02-04,23.875,-157.375,23.639993368
2016-02-04,23.875,-157.125,23.709993367
2016-02-04,23.875,-156.875,23.639993368
2016-02-04,23.875,-156.625,23.449993372
2016-02-04,23.875,-156.375,23.219993377
2016-02-04,23.875,-156.125,23.069993381
2016-02-04,23.875,-155.875,23.08999338
2016-02-04,23.875,-155.625,23.259993377
2016-02-04,23.875,-155.375,23.409993373
2016-02-04,23.875,-155.125,23.449993372
2016-02-04,23.875,-154.875,23.379993374
2016-02-04,23.875,-154.625,23.239993377
2016-02-04,23.875,-154.375,23.129993379
2016-02-04,23.875,-154.125,23.139993379
2016-02-04,23.875,-153.875,23.259993377
2016-02-04,23.875,-153.625,23.459993372
2016-02-04,23.875,-153.375,23.669993367
2016-02-04,23.875,-153.125,23.819993364
2016-02-04,23.875,-152.875,23.919993362
2016-02-04,23.875,-152.625,23.97999336
2016-02-04,23.875,-152.375,24.01999336
2016-02-04,23.875,-152.125,24.01999336
2016-02-04,23.875,-151.875,23.98999336
2016-02-04,23.875,-151.625,23.949993361
2016-02-04,23.875,-151.375,23.819993364
2016-02-04,23.875,-151.125,23.609993369
2016-02-04,23.875,-150.875,23.409993373
2016-02-04,23.875,-150.625,23.279993376
2016-02-04,23.875,-150.375,23.239993377
2016-02-04,23.875,-150.125,23.319993375
2016-02-04,23.875,-149.875,23.389993374
2016-02-04,23.875,-149.625,23.459993372
2016-02-04,23.875,-149.375,23.54999337
2016-02-04,23.875,-149.125,23.689993367
2016-02-04,23.875,-148.875,23.779993365
2016-02-04,23.875,-148.625,23.789993365
2016-02-04,23.875,-148.375,23.759993365
2016-02-04,23.875,-148.125,23.739993366
2016-02-04,23.875,-147.875,23.709993367
2016-02-04,23.875,-147.625,23.649993368
2016-02-04,23.875,-147.375,23.54999337
2016-02-04,23.875,-147.125,23.489993371
2016-02-04,23.875,-146.875,23.449993372
2016-02-04,23.875,-146.625,23.409993373
2016-02-04,23.875,-146.375,23.339993375
2016-02-04,23.875,-146.125,23.209993378
2016-02-04,23.875,-145.875,23.09999338
2016-02-04,23.875,-145.625,22.999993382
2016-02-04,23.875,-145.375,23.009993382
2016-02-04,23.875,-145.125,23.079993381
2016-02-04,23.875,-144.875,23.179993378
2016-02-04,23.875,-144.625,23.199993378
2016-02-04,23.875,-144.375,23.10999338
2016-02-04,23.875,-144.125,22.959993383
2016-02-04,23.875,-143.875,22.849993386
2016-02-04,23.875,-143.625,22.809993387
2016-02-04,24.125,-161.125,24.339993352
2016-02-04,24.125,-160.875,24.339993352
2016-02-04,24.125,-160.625,24.119993357
2016-02-04,24.125,-160.375,23.729993366
2016-02-04,24.125,-160.125,23.279993376
2016-02-04,24.125,-159.875,22.869993385
2016-02-04,24.125,-159.625,22.64999339
2016-02-04,24.125,-159.375,22.759993388
2016-02-04,24.125,-159.125,23.189993378
2016-02-04,24.125,-158.875,23.669993367
2016-02-04,24.125,-158.625,23.899993362
2016-02-04,24.125,-158.375,23.759993365
2016-02-04,24.125,-158.125,23.469993372
2016-02-04,24.125,-157.875,23.279993376
2016-02-04,24.125,-157.625,23.339993375
2016-02-04,24.125,-157.375,23.469993372
2016-02-04,24.125,-157.125,23.489993371
2016-02-04,24.125,-156.875,23.389993374
2016-02-04,24.125,-156.625,23.229993377
2016-02-04,24.125,-156.375,23.09999338
2016-02-04,24.125,-156.125,23.039993382
2016-02-04,24.125,-155.875,23.09999338
2016-02-04,24.125,-155.625,23.279993376
2016-02-04,24.125,-155.375,23.439993373
2016-02-04,24.125,-155.125,23.509993371
2016-02-04,24.125,-154.875,23.449993372
2016-02-04,24.125,-154.625,23.249993377
2016-02-04,24.125,-154.375,23.059993381
2016-02-04,24.125,-154.125,23.049993381
2016-02-04,24.125,-153.875,23.169993379
2016-02-04,24.125,-153.625,23.379993374
2016-02-04,24.125,-153.375,23.589993369
2016-02-04,24.125,-153.125,23.719993366
2016-02-04,24.125,-152.875,23.789993365
2016-02-04,24.125,-152.625,23.839993364
2016-02-04,24.125,-152.375,23.869993363
2016-02-04,24.125,-152.125,23.839993364
2016-02-04,24.125,-151.875,23.829993364
2016-02-04,24.125,-151.625,23.799993365
2016-02-04,24.125,-151.375,23.739993366
2016-02-04,24.125,-151.125,23.579993369
2016-02-04,24.125,-150.875,23.369993374
2016-02-04,24.125,-150.625,23.209993378
2016-02-04,24.125,-150.375,23.169993379
2016-02-04,24.125,-150.125,23.229993377
2016-02-04,24.125,-149.875,23.349993375
2016-02-04,24.125,-149.625,23.439993373
2016-02-04,24.125,-149.375,23.529993371
2016-02-04,24.125,-149.125,23.619993369
2016-02-04,24.125,-148.875,23.659993368
2016-02-04,24.125,-148.625,23.659993368
2016-02-04,24.125,-148.375,23.639993368
2016-02-04,24.125,-148.125,23.609993369
2016-02-04,24.125,-147.875,23.579993369
2016-02-04,24.125,-147.625,23.489993371
2016-02-04,24.125,-147.375,23.369993374
2016-02-04,24.125,-147.125,23.259993377
2016-02-04,24.125,-146.875,23.209993378
2016-02-04,24.125,-146.625,23.209993378
2016-02-04,24.125,-146.375,23.179993378
2016-02-04,24.125,-146.125,23.09999338
2016-02-04,24.125,-145.875,23.009993382
2016-02-04,24.125,-145.625,22.909993384
2016-02-04,24.125,-145.375,22.939993384
2016-02-04,24.125,-145.125,23.009993382
2016-02-04,24.125,-144.875,23.129993379
