time_X,sst,sst_std_X,time_Y,Si,Si_std_Y,lat1,lat2,lon1,lon2,,depth
2015-04-07,6.44248125249,1.34800419258,2015-04-07,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-08,6.4864187515,1.27589643642,2015-04-08,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-09,6.58103749938,1.27889121968,2015-04-09,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-10,6.59574374906,1.35381599256,2015-04-10,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-11,6.51670625083,1.36603862405,2015-04-11,20.0333733288,3.2138961231,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-12,6.49495000129,1.4074085348,2015-04-12,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-13,6.50828125101,1.38905810088,2015-04-13,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-14,6.35598125442,1.35839089865,2015-04-14,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-15,6.31989375523,1.35236791228,2015-04-15,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-16,6.32712500504,1.36875584269,2015-04-16,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-17,6.33206875496,1.38419831921,2015-04-17,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-18,6.4774500017,1.41907548649,2015-04-18,20.301896863,3.32088024324,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-19,6.57038749963,1.37102950357,2015-04-19,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-20,6.57638749949,1.40001120155,2015-04-20,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-21,6.61737499859,1.3730506775,2015-04-21,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-22,6.68154999714,1.35749186861,2015-04-22,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-23,6.63218124824,1.34400268737,2015-04-23,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-24,6.61121874872,1.38259824251,2015-04-24,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-25,6.59693749904,1.40187309132,2015-04-25,20.4888952735,3.39940924841,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-26,6.63533749817,1.32573575341,2015-04-26,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-27,6.63794374812,1.28989320816,2015-04-27,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-28,6.68684374704,1.28912146424,2015-04-28,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-29,6.70344999667,1.3132514737,2015-04-29,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-30,6.71911249631,1.3247409347,2015-04-30,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-01,6.62839374832,1.30327633096,2015-05-01,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-02,6.64490624796,1.29277234283,2015-05-02,20.5316065682,3.39879698436,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-03,6.65686249771,1.27616895023,2015-05-03,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-04,6.55479999997,1.18326321874,2015-05-04,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-05,6.42278750293,1.18024491378,2015-05-05,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-06,6.54645625015,1.19306309438,2015-05-06,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-07,6.732612496,1.16357206765,2015-05-07,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-08,6.73616874593,1.15348450965,2015-05-08,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-09,6.7681687452,1.21183345246,2015-05-09,20.5134570626,3.34675931226,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-10,6.75388749552,1.29161715438,2015-05-10,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-11,6.7057937466,1.34193191624,2015-05-11,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-12,6.91275624197,1.59257329073,2015-05-12,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-13,7.12774998715,1.79072295184,2015-05-13,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-14,6.96301249084,1.2377696382,2015-05-14,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-15,6.97712499056,1.21055216331,2015-05-15,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-16,7.0234687395,1.15277520431,2015-05-16,20.4502166631,3.27260927231,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-17,7.05294998884,1.12263533063,2015-05-17,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-18,7.16089373643,1.03411750619,2015-05-18,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-19,7.21307498525,1.08120043825,2015-05-19,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-20,7.29037498354,1.08571259865,2015-05-20,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-21,7.4883562291,1.13093103882,2015-05-21,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-22,7.59326247676,1.15932047239,2015-05-22,,,43.0,53.0,-160.0,-150.0,,0.494024991989
