time,lat,lon,sst,margin
2017-04-30,21.125,-142.375,24.269993354,0.2
2017-04-30,21.375,-162.625,25.77999332,0.2
2017-04-30,21.375,-161.125,25.619993324,0.2
2017-04-30,21.375,-160.875,25.659993323,0.2
2017-04-30,21.375,-160.625,25.669993323,0.2
2017-04-30,21.375,-160.375,25.76999332,0.2
2017-04-30,21.375,-159.125,25.78999332,0.2
2017-04-30,21.375,-158.875,25.80999332,0.2
2017-04-30,21.375,-158.375,25.709993322,0.2
2017-04-30,21.375,-158.125,25.649993323,0.2
2017-04-30,21.375,-155.375,25.219993333,0.2
2017-04-30,21.375,-155.125,25.299993331,0.2
2017-04-30,21.375,-153.625,25.319993331,0.2
2017-04-30,21.375,-153.375,25.409993329,0.2
2017-04-30,21.375,-153.125,25.479993327,0.2
2017-04-30,21.375,-152.875,25.559993325,0.2
2017-04-30,21.375,-151.875,25.449993328,0.2
2017-04-30,21.375,-150.875,25.439993328,0.2
2017-04-30,21.375,-150.625,25.35999333,0.2
2017-04-30,21.375,-150.375,25.289993331,0.2
2017-04-30,21.375,-150.125,25.249993332,0.2
2017-04-30,21.375,-142.375,24.069993358,0.2
2017-04-30,21.625,-162.625,25.78999332,0.2
2017-04-30,21.625,-161.125,25.739993321,0.2
2017-04-30,21.625,-160.875,25.77999332,0.2
2017-04-30,21.625,-160.625,25.629993324,0.2
2017-04-30,21.625,-159.875,25.749993321,0.2
2017-04-30,21.625,-159.625,25.879993318,0.2
2017-04-30,21.625,-159.375,25.959993316,0.2
2017-04-30,21.625,-159.125,25.869993318,0.2
2017-04-30,21.625,-158.875,25.729993321,0.2
2017-04-30,21.625,-158.375,25.469993327,0.2
2017-04-30,21.625,-158.125,25.369993329,0.2
2017-04-30,21.625,-157.875,25.33999333,0.2
2017-04-30,21.625,-156.375,25.219993333,0.2
2017-04-30,21.625,-156.125,25.149993334,0.2
2017-04-30,21.625,-155.875,25.159993334,0.2
2017-04-30,21.625,-155.625,25.209993333,0.2
2017-04-30,21.625,-155.375,25.269993332,0.2
2017-04-30,21.625,-155.125,25.289993331,0.2
2017-04-30,21.625,-153.125,25.389993329,0.2
2017-04-30,21.625,-152.875,25.479993327,0.2
2017-04-30,21.625,-152.625,25.469993327,0.2
2017-04-30,21.625,-150.875,25.279993331,0.2
2017-04-30,21.625,-150.625,25.239993332,0.2
2017-04-30,21.625,-150.375,25.199993333,0.2
2017-04-30,21.625,-150.125,25.189993333,0.2
2017-04-30,21.625,-149.875,25.159993334,0.2
2017-04-30,21.625,-146.125,24.489993349,0.2
2017-04-30,21.875,-162.625,25.839993319,0.2
2017-04-30,21.875,-161.125,25.79999332,0.2
2017-04-30,21.875,-160.875,25.719993322,0.2
2017-04-30,21.875,-160.375,25.389993329,0.2
